100 10000
15 91 15
59 14 19
47 33 12
91 56 11
12 38 18
56 44 20
69 83 17
98 94 17
32 84 18
99 65 18
53 72 17
32 84 19
99 82 20
38 45 15
49 93 14
97 48 20
90 87 14
82 1 12
56 44 15
52 93 11
17 9 10
34 1 14
12 38 12
98 94 15
38 45 15
57 36 16
15 91 11
42 64 15
19 80 15
55 70 12
88 58 19
85 99 14
29 37 15
12 27 18
29 37 13
32 84 11
56 44 20
51 36 15
15 91 16
97 48 16
75 24 18
56 44 18
36 77 11
23 31 11
30 36 17
15 39 15
57 36 19
8 51 16
63 27 17
29 37 10
99 92 10
90 87 11
89 25 17
96 61 17
12 38 15
32 84 11
92 62 11
54 90 16
15 91 10
24 64 18
90 87 18
60 3 16
51 17 10
40 5 12
96 61 16
8 51 12
36 77 13
15 73 18
20 0 10
56 44 19
90 87 14
15 39 15
40 5 13
54 90 20
66 67 10
89 25 16
4 74 11
89 23 17
15 91 12
12 27 14
98 94 18
92 62 15
40 22 11
82 84 11
89 25 10
59 14 19
19 80 15
4 5 10
19 80 16
51 31 18
75 24 14
89 25 19
47 33 14
52 93 11
15 39 15
33 95 20
89 25 14
38 45 15
21 84 19
75 24 18
39 55 12
82 1 20
39 55 12
1 11 15
15 39 12
19 80 15
4 74 19
21 84 10
92 62 19
89 23 14
51 36 19
32 84 13
97 48 10
40 22 16
39 55 10
12 27 14
40 89 17
38 45 19
19 80 18
56 44 10
23 31 12
63 27 20
96 61 19
15 91 17
29 37 17
40 5 16
99 92 17
92 62 19
19 80 17
89 25 20
60 3 14
15 91 15
24 64 14
16 23 19
98 94 20
51 36 18
2 3 15
44 13 15
23 31 20
15 39 18
75 10 20
15 91 11
56 44 17
90 87 11
21 84 19
88 58 18
44 0 19
94 82 20
75 24 12
38 45 13
89 25 10
23 31 18
70 71 15
52 93 13
46 74 18
41 9 20
51 17 11
1 11 20
97 48 12
60 3 16
97 48 20
99 92 20
98 94 14
34 1 12
98 94 15
15 39 19
46 74 12
69 83 13
59 14 17
99 92 11
97 48 15
21 84 20
59 14 18
23 31 13
70 71 11
40 89 10
89 25 12
12 38 19
21 84 10
52 93 19
40 22 12
99 82 15
32 84 10
97 48 14
99 65 13
36 77 17
30 47 11
59 14 18
98 94 12
51 36 12
36 77 16
49 93 13
54 90 17
15 91 18
15 91 12
90 87 17
36 77 13
34 1 15
86 26 13
91 56 19
8 97 11
36 77 18
35 99 19
12 27 12
36 77 17
40 5 10
23 31 11
75 10 20
76 34 16
15 91 10
23 31 15
89 25 17
14 67 13
19 80 14
36 77 20
98 94 17
35 99 18
52 93 16
97 48 10
99 65 15
89 25 17
83 34 17
75 24 12
83 28 16
49 93 12
40 5 12
60 3 12
14 67 10
39 55 20
44 13 18
80 31 19
75 24 20
15 91 11
31 29 19
15 39 15
69 83 18
19 80 16
52 93 20
38 45 17
30 47 15
12 27 11
19 80 10
57 36 13
49 93 19
75 24 14
8 97 13
31 29 18
98 94 18
8 97 16
23 31 12
66 67 12
15 91 17
54 90 14
12 39 12
42 64 14
52 93 12
91 56 13
57 36 12
88 58 12
7 87 20
8 97 12
19 80 14
23 31 18
55 70 19
54 90 18
24 59 20
30 47 10
53 72 13
96 61 13
15 91 15
19 80 15
15 39 18
99 65 15
15 39 18
40 5 15
32 84 17
21 84 14
70 71 20
15 39 19
15 91 14
57 36 16
35 99 15
23 31 15
51 36 10
55 70 16
44 68 12
60 3 12
97 48 12
97 48 15
56 44 12
24 64 16
36 77 15
75 24 12
35 99 10
14 67 20
40 5 14
98 94 15
99 65 17
38 45 15
15 91 12
15 91 19
99 65 13
52 93 15
40 89 11
15 91 13
92 62 18
38 45 15
75 10 12
3 93 16
55 70 10
83 34 12
85 99 16
99 65 11
60 3 10
88 58 17
75 24 11
49 93 10
99 65 19
15 91 18
40 22 19
98 94 12
15 91 11
89 23 13
40 22 13
72 75 11
21 84 10
90 87 12
39 55 11
52 93 12
97 48 15
40 22 17
8 97 16
83 28 10
52 93 19
40 5 15
15 39 12
66 67 15
17 9 10
15 39 10
1 11 16
53 72 13
1 11 20
97 48 13
24 59 12
38 3 19
86 26 20
92 62 11
31 29 12
66 67 10
97 48 20
8 97 13
97 48 15
12 27 17
98 94 12
83 34 18
1 11 10
8 51 13
90 87 17
52 93 16
1 11 20
38 45 14
8 51 13
6 41 13
23 31 14
2 3 19
17 9 13
53 72 13
90 87 20
41 9 18
21 84 14
90 87 12
38 45 15
4 5 15
21 84 15
15 91 10
24 64 14
90 87 20
29 37 16
38 45 15
36 77 14
33 95 10
75 24 14
96 61 15
19 80 10
36 77 20
15 91 19
89 25 12
12 27 10
12 27 18
19 80 12
99 92 18
44 68 12
56 44 15
75 24 19
96 61 20
89 25 12
89 23 20
88 58 18
12 27 19
15 91 17
75 96 10
47 33 19
15 39 13
55 70 17
56 44 19
94 82 12
44 68 20
42 64 19
38 45 18
23 31 14
38 45 17
39 55 15
59 14 16
52 93 10
3 93 16
40 5 19
51 36 11
6 41 18
75 24 18
52 93 18
47 33 20
19 80 14
40 22 15
30 47 12
55 70 13
15 91 10
38 45 10
4 5 20
44 13 14
30 47 20
36 77 20
49 93 12
19 80 17
75 10 17
89 25 15
17 9 16
98 94 20
89 25 11
19 80 20
16 23 16
30 47 19
23 31 20
47 33 15
89 25 10
89 25 19
89 25 18
52 93 19
4 5 20
89 23 20
1 11 15
15 91 19
12 27 15
12 27 16
97 48 15
7 87 16
86 26 17
98 94 12
99 92 14
38 45 18
35 99 18
1 11 10
24 64 15
97 48 17
19 80 15
15 91 20
59 14 20
98 94 15
38 45 18
1 11 13
72 86 11
29 37 11
36 77 19
75 10 18
72 75 12
14 67 11
42 64 12
15 91 10
36 77 20
36 77 12
19 80 13
99 92 20
51 17 14
51 17 11
19 80 12
31 29 18
24 59 14
39 55 20
56 44 20
97 48 18
98 94 20
36 77 20
7 43 10
89 25 18
39 55 20
88 58 19
19 80 15
51 36 15
92 62 17
6 41 19
56 44 17
21 84 14
1 11 19
89 25 15
88 58 10
19 80 16
92 62 17
19 80 17
19 80 20
54 90 16
24 64 17
86 26 17
98 94 11
78 48 10
32 84 19
98 94 14
98 94 16
44 13 19
23 31 20
74 88 13
12 38 19
15 91 13
51 17 20
51 36 19
2 3 10
15 39 17
1 11 20
89 25 13
82 1 20
75 10 14
86 26 18
19 80 15
40 22 14
17 9 17
72 75 11
21 84 15
98 94 17
96 61 20
89 25 12
1 11 17
15 39 11
49 93 20
15 91 10
75 24 10
82 1 18
75 24 16
66 67 16
89 23 10
40 5 17
70 71 14
85 99 13
92 62 17
75 24 19
99 65 15
51 17 11
36 77 17
70 71 16
47 33 15
21 84 12
23 31 14
99 92 13
14 67 10
40 5 18
39 55 12
75 96 10
78 48 18
75 96 10
75 24 15
14 67 14
15 91 16
15 91 17
70 71 15
89 25 18
76 34 18
34 1 18
97 48 12
38 3 20
3 93 15
56 44 19
15 73 15
74 88 14
83 34 15
96 61 18
36 77 11
74 88 12
15 91 18
16 23 20
51 31 20
83 28 15
41 9 14
59 14 17
19 80 14
15 91 20
89 25 12
52 93 20
63 27 16
24 64 20
75 24 16
39 55 15
99 92 12
75 10 15
36 77 10
38 45 17
15 91 19
46 74 18
97 48 17
19 80 10
75 24 11
56 44 17
38 45 15
97 48 16
75 24 16
47 33 10
92 62 15
15 39 17
49 93 18
19 80 13
75 24 12
38 45 13
3 93 10
35 99 13
4 5 19
54 90 20
19 80 18
54 90 19
21 84 18
59 14 10
42 64 10
52 93 13
98 94 15
8 97 12
3 93 10
70 71 17
42 64 16
99 65 17
23 31 16
74 88 15
97 48 10
19 80 13
88 58 10
24 64 10
6 41 11
34 1 13
92 62 18
82 1 15
4 74 17
75 24 20
56 44 16
1 11 18
29 37 16
59 14 19
98 94 11
60 3 14
55 70 19
30 47 14
90 87 17
35 99 13
19 80 13
99 92 10
96 61 17
90 87 10
7 43 19
97 48 19
86 26 19
19 80 15
12 27 15
86 26 14
21 84 20
15 91 18
55 70 15
21 84 18
30 36 15
32 84 10
90 87 13
7 43 17
12 38 14
15 91 16
29 37 20
75 24 19
39 55 15
23 31 13
21 84 16
89 25 14
15 39 16
92 62 18
98 94 13
53 72 16
53 72 19
21 84 10
57 36 17
52 93 15
39 55 11
14 67 13
19 80 20
76 34 12
89 25 16
44 68 10
15 39 18
59 14 10
89 25 11
69 83 16
32 84 19
19 80 15
3 72 16
30 47 17
72 75 12
36 77 20
8 51 10
8 97 15
52 93 12
29 37 13
29 37 15
75 24 17
82 84 11
63 27 19
51 17 10
38 45 10
15 39 12
40 22 18
99 65 12
88 58 12
12 27 10
59 14 16
89 25 19
40 89 15
92 62 10
4 5 17
36 77 14
49 93 17
75 24 12
29 37 11
15 73 16
98 94 17
23 31 18
8 51 19
75 24 15
38 45 20
89 25 12
38 45 15
52 93 13
75 96 18
15 39 16
98 94 12
75 10 15
57 36 12
24 64 11
83 28 20
56 44 14
39 55 11
53 72 19
38 45 13
33 95 15
15 91 14
15 39 17
1 11 16
17 9 13
15 39 12
35 99 20
75 10 15
15 39 11
23 31 12
3 93 10
32 84 18
90 87 12
52 93 18
38 45 16
32 84 10
30 36 14
88 58 13
98 94 17
97 48 10
99 92 16
52 93 17
56 44 17
49 93 10
99 65 13
35 99 18
60 3 18
88 58 12
12 27 13
23 31 19
23 31 17
57 36 14
23 31 10
57 36 13
51 36 18
12 27 13
38 45 16
30 47 12
23 31 15
15 91 16
51 36 19
89 25 14
4 74 14
14 67 18
51 31 16
99 92 16
19 80 19
6 41 14
82 1 12
40 5 20
15 39 12
15 91 10
44 13 15
56 44 11
17 9 14
66 67 20
69 83 17
98 94 10
29 37 14
89 25 16
56 44 13
23 31 10
1 11 18
53 72 16
86 26 17
21 84 18
12 27 20
29 37 19
40 89 17
56 44 11
99 44 15
56 44 17
15 39 15
35 99 10
24 64 17
98 94 17
12 38 10
90 87 16
70 71 17
36 77 12
1 11 13
89 23 20
89 25 18
97 48 12
23 31 11
36 77 13
56 44 12
14 67 17
40 22 19
40 5 19
19 80 13
89 25 12
12 27 11
56 44 15
29 37 13
90 87 19
35 99 18
74 82 15
99 82 15
21 84 16
56 44 20
57 36 18
40 5 18
66 67 10
14 67 10
52 93 15
15 73 15
21 84 19
14 67 10
42 64 15
52 93 19
32 84 16
12 38 20
55 70 10
29 37 13
75 10 20
47 33 10
44 13 14
59 14 15
75 10 19
98 94 14
97 48 16
14 67 12
92 62 12
19 80 13
35 99 11
12 38 18
74 88 18
88 58 18
1 11 15
38 3 17
12 27 13
66 67 11
15 73 11
59 14 13
97 48 15
34 1 18
90 87 18
19 80 19
51 17 15
29 37 16
66 67 18
82 84 16
83 28 13
15 39 11
38 45 19
14 67 16
59 14 10
38 3 14
15 39 20
7 43 14
19 80 15
56 44 20
15 91 20
57 36 11
88 58 14
15 73 20
52 93 17
39 55 10
89 25 13
88 58 15
55 70 14
29 37 14
57 36 12
16 23 19
56 44 17
20 0 19
1 11 15
59 14 20
90 87 16
56 44 18
56 44 17
40 22 17
20 0 19
47 33 10
51 17 14
82 1 16
3 93 14
15 91 11
99 92 12
83 34 18
15 39 15
88 58 16
83 34 13
85 99 17
98 94 10
83 28 18
98 94 19
56 44 10
31 29 16
35 99 15
56 44 17
90 87 13
40 22 18
39 55 17
52 93 15
30 47 13
40 22 20
75 24 10
44 68 16
66 67 18
23 31 10
56 44 10
55 70 20
42 64 12
15 39 20
23 31 19
98 94 13
31 29 15
42 64 16
29 37 13
51 36 11
99 92 17
86 26 18
35 99 10
47 33 11
12 27 15
39 55 14
89 25 11
14 67 12
14 67 17
23 31 20
57 36 19
15 91 12
89 25 17
14 67 16
12 39 13
36 77 18
44 13 14
2 3 12
57 36 18
57 36 11
75 24 16
8 97 19
97 48 12
14 67 17
90 87 14
98 94 19
3 93 15
40 5 11
30 36 20
51 17 19
89 25 19
19 80 19
75 24 16
39 55 18
66 67 16
56 44 19
33 95 20
99 92 18
66 67 16
91 56 10
15 91 15
54 90 17
12 27 19
99 92 14
55 70 14
31 29 15
12 38 18
56 44 17
90 87 17
98 94 18
36 77 17
52 93 19
55 70 17
38 45 15
17 9 14
57 36 14
63 27 16
83 28 15
17 9 13
94 82 17
8 97 18
38 45 14
89 25 10
14 67 17
69 83 10
15 91 12
70 71 15
89 25 12
82 1 19
52 93 20
54 90 11
78 48 10
99 92 19
89 25 18
4 74 12
35 99 16
31 29 17
56 44 13
40 5 20
98 94 17
19 80 13
1 11 11
40 5 17
15 39 17
36 77 13
12 27 15
32 84 18
52 93 11
12 38 14
63 27 13
39 55 10
89 25 11
4 74 15
52 93 19
56 44 19
47 33 19
75 96 13
69 83 13
1 11 11
75 24 13
40 5 19
55 70 10
44 68 20
24 64 12
15 91 13
12 38 15
4 74 18
51 31 12
89 23 16
89 25 11
14 67 16
54 90 18
38 45 11
55 70 16
98 94 15
98 94 13
14 67 14
75 24 15
75 96 10
89 23 10
19 80 13
14 67 16
19 80 16
16 23 12
15 91 19
19 80 16
2 3 16
2 3 15
12 27 10
12 27 18
15 39 18
14 67 19
42 64 11
15 91 20
24 64 11
98 94 18
36 77 12
75 24 16
12 39 20
51 17 19
56 44 15
15 39 14
15 91 17
44 13 19
86 26 19
19 80 12
75 96 10
40 5 19
49 93 16
56 44 16
63 27 11
86 26 10
46 74 14
89 25 12
60 3 14
85 99 19
82 1 18
32 84 17
38 45 17
75 24 15
56 44 14
16 23 11
57 36 19
63 27 12
15 73 17
31 29 14
24 64 18
39 55 18
59 14 10
86 26 14
89 25 16
19 80 14
49 93 13
1 11 19
51 36 11
59 14 17
57 36 10
98 94 14
23 31 10
23 31 15
59 14 18
12 27 14
52 93 19
12 27 16
89 25 20
44 13 17
24 64 12
40 5 17
15 39 17
36 77 19
12 27 12
92 62 10
88 58 17
90 87 10
39 55 11
63 27 12
40 22 12
24 59 13
44 68 17
30 47 10
24 59 11
92 62 12
14 67 19
39 55 13
40 5 13
89 25 13
47 33 13
94 82 16
12 27 14
12 27 19
92 62 18
40 5 18
12 27 19
21 84 12
15 91 13
92 62 10
38 45 12
4 5 12
82 84 18
24 59 17
89 25 17
32 84 20
55 70 14
83 34 11
15 91 19
38 45 11
75 24 18
86 26 17
54 90 10
38 45 16
90 87 12
23 31 14
12 27 20
56 44 11
38 45 18
38 45 11
66 67 12
75 24 10
60 3 18
19 80 16
55 70 20
54 90 16
60 3 11
36 77 20
44 13 18
15 39 16
24 64 15
70 71 11
4 5 13
66 67 17
59 14 16
51 17 19
15 91 19
15 91 20
40 5 19
78 48 15
3 93 16
57 36 19
19 80 12
15 91 15
89 25 11
23 31 15
4 74 17
92 62 17
74 88 20
99 82 19
55 70 11
15 39 11
29 37 20
36 77 13
19 80 19
41 9 14
72 86 13
12 27 12
65 79 13
38 81 17
23 31 11
89 25 13
12 38 10
23 31 15
12 38 14
12 27 20
19 80 19
57 36 13
23 31 17
75 24 11
3 93 17
83 34 19
44 13 15
99 82 16
32 84 11
99 92 20
52 93 17
38 3 11
39 55 12
7 87 17
69 83 13
38 45 14
82 1 14
20 0 17
92 62 12
63 27 13
56 44 14
47 33 14
75 24 11
59 14 19
12 27 18
17 9 15
32 84 13
56 44 20
6 41 13
56 44 10
87 24 17
8 51 10
65 79 19
36 77 14
63 27 18
1 11 15
99 92 19
97 48 11
38 45 18
21 84 11
52 93 19
19 80 15
56 44 18
57 36 10
92 62 16
38 3 14
19 80 10
83 28 15
30 47 19
15 91 20
8 51 11
89 25 14
89 25 19
75 24 15
52 93 19
40 5 13
15 39 10
86 26 11
44 68 13
15 91 16
97 48 12
89 23 11
49 93 15
15 91 12
12 27 13
38 45 12
19 80 20
36 77 12
75 24 11
36 77 10
49 93 10
42 64 18
99 92 14
3 93 20
98 94 12
47 33 19
23 31 11
19 80 13
54 90 17
19 80 20
89 25 13
83 34 13
32 84 14
52 93 14
19 80 12
52 93 10
97 48 20
12 27 20
96 61 12
99 92 16
52 93 19
32 84 12
30 47 15
8 97 10
6 41 12
75 24 11
75 24 19
15 73 19
23 31 10
35 99 20
57 36 16
14 67 20
98 94 20
40 89 13
86 26 13
29 37 16
89 25 19
57 36 10
96 61 10
89 25 12
75 24 11
82 1 14
40 22 15
2 3 13
51 17 11
89 25 19
52 93 13
24 64 16
69 83 14
20 0 16
83 34 13
65 79 12
17 9 17
15 91 15
98 94 13
29 37 11
91 56 15
88 58 18
75 24 10
19 80 17
98 94 19
33 95 12
34 1 14
94 82 10
94 82 11
14 67 20
23 31 12
52 93 19
56 44 16
23 31 11
21 84 12
92 62 17
49 93 20
31 29 19
44 13 16
15 39 10
15 91 13
75 24 18
1 11 13
92 62 16
23 31 16
1 11 11
15 39 15
49 93 19
98 94 18
3 93 10
96 61 14
65 79 14
12 27 19
31 29 14
12 27 15
15 73 17
35 99 17
21 84 15
20 0 11
54 90 15
52 93 11
38 45 13
91 56 13
4 5 13
75 24 12
15 39 20
66 67 12
24 59 10
40 22 11
92 62 11
2 3 16
4 5 10
56 44 13
15 73 19
92 62 13
98 94 18
31 29 14
36 77 17
15 73 10
4 74 19
30 47 17
23 31 20
21 84 14
16 23 14
19 80 10
24 64 12
57 36 19
51 31 18
24 59 16
19 80 11
52 93 20
91 56 12
42 64 17
97 48 10
39 55 13
39 55 13
75 24 14
30 47 19
36 77 17
15 39 13
75 96 12
39 55 20
92 62 16
38 3 19
98 94 13
19 80 13
21 84 15
1 11 16
83 34 16
69 83 20
21 84 17
35 99 18
14 67 16
86 26 15
89 25 19
30 47 13
12 27 12
12 38 17
23 31 13
1 11 16
38 45 11
23 31 13
90 87 11
30 47 10
19 80 18
59 14 13
97 48 15
31 29 16
32 84 18
98 94 15
15 91 13
52 93 12
19 80 13
15 91 15
15 91 11
4 5 20
97 48 18
99 44 13
19 80 18
8 51 12
33 95 16
98 94 14
15 73 14
12 38 17
12 27 16
75 24 15
83 28 11
38 45 18
75 24 18
56 44 14
98 94 11
75 24 10
19 80 16
2 3 17
33 95 14
15 91 19
19 80 19
8 97 11
15 91 14
56 44 13
12 27 18
23 31 11
75 24 19
66 67 12
56 44 13
56 44 11
72 75 20
1 11 10
75 96 13
38 45 19
83 28 14
40 5 14
47 33 11
16 23 19
38 45 20
89 25 18
54 90 19
15 91 19
14 67 18
19 80 16
98 94 20
30 36 18
59 14 16
51 17 18
15 91 14
57 36 17
23 31 20
78 48 17
56 44 16
92 62 17
57 36 14
30 36 13
89 25 20
12 27 16
51 17 11
98 94 19
55 70 20
15 39 10
89 23 18
15 91 14
97 48 10
98 94 12
29 37 11
99 65 16
15 91 14
90 87 12
97 48 10
40 89 11
92 62 17
72 75 18
98 94 18
30 47 14
51 17 11
21 84 11
56 44 13
15 91 20
1 11 12
15 91 16
99 92 17
57 36 18
75 24 13
8 97 17
54 90 14
38 45 15
57 36 10
12 27 13
23 31 20
14 67 12
23 31 18
44 13 12
60 3 19
24 64 18
99 92 10
40 22 13
63 27 10
29 37 17
55 70 14
98 94 11
23 31 13
1 11 12
35 99 13
98 94 16
92 62 10
56 44 16
14 67 17
89 25 15
15 91 19
15 73 14
99 92 14
90 87 17
15 91 18
91 56 15
39 55 11
55 70 14
97 48 20
52 93 18
89 25 15
52 93 17
33 95 10
42 64 12
23 31 16
47 33 16
40 5 14
15 39 19
86 26 19
89 25 20
24 64 15
23 31 13
97 48 15
38 45 16
54 90 19
98 94 10
97 48 10
24 59 12
19 80 11
97 48 20
31 29 15
29 37 17
99 92 19
15 91 12
35 99 19
83 34 14
57 36 12
2 3 18
75 24 17
6 41 14
98 94 20
52 93 16
38 45 11
23 31 12
40 89 14
75 24 12
65 79 14
98 94 19
92 62 15
99 92 17
36 77 16
40 5 11
2 3 17
97 48 11
39 55 12
52 93 14
83 28 19
21 84 13
24 59 17
1 11 14
75 24 17
74 88 19
4 5 15
32 84 10
38 45 16
56 44 18
66 67 17
60 3 16
56 44 12
41 9 14
39 55 13
12 27 15
36 77 15
23 31 10
44 13 20
4 5 18
36 77 17
15 73 16
88 58 18
89 23 10
90 87 11
98 94 18
98 94 16
51 36 17
36 77 16
30 47 11
75 24 14
3 93 14
92 62 16
15 39 17
75 24 15
12 27 16
3 93 15
78 48 19
8 97 12
36 77 10
36 77 14
59 14 17
24 64 10
40 22 12
19 80 16
35 99 12
19 80 18
98 94 20
56 44 20
40 5 16
56 44 14
15 91 20
82 1 13
57 36 16
44 13 10
15 39 14
99 65 19
52 93 14
74 88 17
32 84 13
56 44 13
56 44 13
52 93 16
42 64 19
17 9 19
39 55 11
44 68 16
15 91 20
40 5 12
38 45 19
19 80 10
24 64 19
51 17 16
21 84 18
89 23 15
75 24 13
16 23 13
89 25 19
15 39 20
52 93 12
72 75 11
24 64 13
51 36 11
89 25 20
55 70 16
94 82 15
38 3 18
90 87 17
89 25 14
56 44 18
85 99 16
24 59 15
44 68 13
99 65 12
98 94 13
55 70 16
97 48 12
99 44 13
56 44 11
6 41 11
23 31 11
21 84 12
24 64 13
98 94 19
1 11 16
15 73 15
32 84 17
66 67 17
65 79 20
15 91 18
4 74 19
75 24 10
52 93 18
38 45 11
12 38 10
12 38 20
89 25 10
75 96 20
99 65 14
99 65 10
97 48 16
23 31 15
72 75 19
97 48 18
89 25 12
75 24 16
12 27 13
72 86 12
69 83 12
15 73 12
76 34 19
83 34 19
92 62 15
78 48 12
90 87 10
12 38 15
16 23 19
42 64 17
41 9 19
15 91 13
32 84 15
52 93 20
32 84 15
19 80 13
97 48 11
83 28 14
15 39 16
1 11 18
57 36 14
75 24 16
12 27 11
99 65 16
59 14 12
98 94 10
66 67 14
86 26 10
15 91 13
56 44 18
14 67 13
88 58 14
90 87 13
97 48 15
40 5 10
60 3 19
49 93 13
94 82 13
52 93 18
75 24 14
75 96 19
24 59 19
90 87 20
75 24 19
19 80 16
52 93 14
42 64 10
57 36 13
24 64 13
88 58 20
1 11 11
15 91 11
40 5 18
83 34 13
63 27 10
38 45 11
24 59 18
1 11 19
52 93 20
89 23 17
15 91 12
75 96 14
52 93 10
29 37 10
7 43 17
23 31 18
54 90 17
56 44 10
59 14 20
98 94 12
83 34 11
55 70 15
55 70 10
40 5 14
12 27 10
40 89 10
3 93 13
38 3 11
72 75 14
51 31 17
24 59 20
35 99 17
15 73 19
98 94 17
7 43 12
29 37 13
82 1 15
75 24 19
12 27 12
98 94 15
2 3 18
15 39 17
12 38 16
24 64 16
38 45 19
98 94 10
24 64 11
82 84 14
75 10 11
51 17 10
23 31 11
52 93 18
40 5 20
12 27 13
21 84 12
98 94 10
46 74 14
52 93 18
15 73 14
91 56 13
86 26 18
36 77 10
4 74 15
51 17 12
33 95 13
3 72 19
52 93 15
12 27 11
97 48 16
89 25 10
99 65 17
40 5 17
96 61 20
15 91 20
51 36 18
86 26 20
1 11 18
32 84 11
89 25 15
98 94 11
14 67 12
29 37 20
4 74 20
2 3 12
57 36 12
89 23 14
66 67 17
15 39 18
2 3 17
21 84 18
21 84 14
23 31 12
98 94 13
97 48 18
35 99 17
82 1 11
59 14 17
75 24 10
82 1 12
88 58 18
49 93 13
23 31 15
85 99 12
57 36 16
51 17 20
15 39 14
99 92 17
12 27 19
15 73 17
75 24 18
19 80 15
89 25 16
75 24 20
57 36 11
54 90 11
6 41 20
75 10 13
15 39 14
42 64 16
19 80 16
66 67 11
41 9 13
56 44 18
36 77 18
57 36 10
52 93 12
29 37 15
90 87 18
49 93 11
96 61 13
19 80 15
96 61 14
44 68 16
75 24 11
14 67 15
16 23 18
6 41 11
90 87 17
15 39 20
40 5 11
36 77 18
75 24 19
52 93 18
85 99 12
24 59 15
15 91 16
7 87 12
98 94 18
57 36 15
86 26 16
96 61 12
98 94 13
98 94 15
54 90 10
16 23 11
83 28 10
83 34 18
15 39 16
97 48 15
23 31 11
97 48 14
23 31 19
15 39 20
14 67 15
1 11 11
98 94 14
57 36 12
98 94 19
24 64 15
56 44 20
99 65 10
98 94 16
38 45 20
12 27 14
2 3 15
52 93 15
63 27 15
12 27 10
55 70 16
89 25 10
52 93 17
72 75 20
92 62 17
75 96 10
98 94 15
44 68 18
38 45 13
15 39 16
38 45 20
92 62 16
4 5 10
98 94 16
56 44 16
14 67 16
15 73 16
60 3 10
12 39 13
40 22 17
44 68 20
12 27 11
52 93 10
47 33 15
82 1 17
66 67 14
56 44 15
51 17 16
89 25 16
15 91 11
38 45 11
51 17 14
42 64 14
83 28 15
36 77 20
23 31 20
90 87 12
97 48 12
75 24 11
39 55 17
92 62 13
75 96 15
40 5 17
98 94 18
53 72 12
52 93 11
15 73 20
12 38 16
75 96 11
1 11 18
15 39 15
19 80 13
66 67 12
86 26 19
54 90 19
90 87 15
92 62 15
30 47 16
39 55 13
47 33 16
74 88 16
86 26 17
98 94 11
89 25 15
15 39 11
15 39 12
82 84 11
16 23 16
52 93 20
15 39 19
15 91 20
21 84 12
59 14 19
15 91 18
19 80 16
15 91 19
88 58 19
15 91 14
82 1 20
70 71 14
59 14 15
74 88 13
56 44 19
40 5 17
15 39 16
96 61 16
32 84 15
12 27 12
24 64 18
99 92 19
17 9 11
57 36 18
12 27 13
91 56 20
56 44 19
69 83 13
36 77 19
99 65 18
60 3 19
99 65 15
56 44 15
89 23 14
15 39 18
15 91 19
23 31 18
66 67 18
4 5 12
40 5 19
40 5 19
12 27 10
36 77 19
24 64 12
60 3 19
86 26 10
19 80 14
88 58 10
40 89 18
51 31 12
97 48 20
91 56 14
40 5 17
38 45 14
35 99 11
78 48 14
75 24 16
2 3 20
63 27 14
16 23 19
38 45 18
3 93 19
15 91 10
15 73 13
90 87 20
2 3 10
2 3 13
38 45 12
47 33 12
92 62 14
97 48 19
87 24 15
1 11 17
70 71 10
75 24 18
83 28 13
40 5 20
89 25 15
4 5 10
59 14 11
15 73 11
89 25 16
75 24 16
52 93 18
97 48 12
21 84 13
40 5 12
15 91 11
98 94 20
90 87 16
75 24 10
15 91 10
12 27 15
75 24 15
35 99 13
92 62 19
92 62 17
12 27 15
99 92 14
53 72 14
72 75 14
52 93 10
92 62 17
49 93 13
98 94 16
74 88 20
59 14 20
15 39 16
36 77 16
98 94 13
83 28 12
4 74 14
15 91 17
8 97 14
19 80 14
15 91 12
12 27 17
16 23 19
75 24 11
82 1 17
15 91 17
60 3 10
89 25 13
7 43 20
7 87 20
52 93 17
89 25 19
30 47 16
59 14 16
31 29 14
14 67 17
89 25 12
15 39 17
56 44 11
12 27 18
96 61 11
90 87 19
75 96 13
52 93 11
98 94 12
74 88 18
47 33 13
99 65 14
86 26 20
99 65 11
19 80 12
39 55 14
59 14 18
89 25 12
24 64 20
24 64 19
92 62 20
16 23 18
98 94 17
15 39 18
98 94 19
15 91 12
78 48 18
35 99 10
12 38 15
4 74 16
47 33 15
4 5 14
56 44 20
15 91 14
52 93 16
59 14 10
1 11 12
39 55 11
15 91 16
90 87 19
36 77 16
60 3 13
97 48 12
21 84 10
75 96 19
15 39 20
21 84 13
72 86 16
23 31 19
19 80 16
24 59 20
92 62 16
59 14 14
59 14 17
35 99 10
40 89 11
35 99 17
24 64 19
52 93 14
15 91 16
15 91 12
75 24 13
52 93 11
47 33 13
75 96 19
56 44 11
55 70 12
60 3 14
6 41 14
8 51 12
35 99 10
66 67 10
86 26 13
15 91 17
52 93 15
15 73 12
51 36 19
3 93 19
63 27 16
1 11 14
15 91 15
92 62 11
70 71 16
14 67 15
52 93 13
44 13 20
44 13 17
56 44 18
51 31 20
19 80 10
52 93 15
12 38 12
24 59 11
63 27 17
98 94 19
14 67 12
92 62 17
21 84 15
52 93 18
12 27 15
96 61 14
51 17 19
23 31 11
70 71 11
89 23 13
83 34 11
47 33 14
82 1 14
40 22 15
51 31 11
30 47 20
89 25 17
89 25 18
21 84 11
92 62 14
17 9 14
42 64 16
57 36 11
83 28 13
92 62 10
7 87 16
57 36 11
51 17 17
21 84 12
91 56 18
